Supplier Name,Location,Category,Product,Transportation Mode,Transportation Route,Distribution Network,Emission Intensity (kg CO2/unit),Total Emissions (ton CO2),Fuel Consumption (liters),Energy Consumption (GJ),Sustainability Rating,Regulatory Impact,Year
Proxima Supply Co.,United Arab Emirates,Transportation,Tire,Train,Tokyo Narita Airport,Suppliers,19.72,24.08,399.01,816.13,7,Medium,2022
Orion Trading Co.,Finland,Transportation,Car Battery,Ship,Interstate 55 (I-55),Manufacturers,8.5,17.56,5772.22,408.31,8.8,High,2018
Summit Procurement,Thailand,Transportation,Shock Absorber,Train,Thalys Cologne-Paris,Wholesalers,16.08,46.32,721.73,163.71,6.3,Low,2023
Eclipse Distributors,Denmark,Transportation,Radiator,Truck,Interstate 80 (I-80),Warehouses,19.88,3.33,4626.44,714.43,7.2,High,2020
Infinity Logistics,Malaysia,Electric,Electric Heater,Train,Interstate 55 (I-55),Warehouses,5.35,35.55,2152.01,478.62,5.6,High,2020
Ascend Supply Chain,Bangladesh,Residential,Television,Train,Paris Orly Airport,Manufacturers,7.59,16.09,7093.2,789.37,6.6,Medium,2019
Spectrum Trading Solutions,Mexico,Commercial,Conference Table,Train,Paris Orly Airport,Warehouses,3.49,26.23,7490.21,128.98,5.8,Medium,2023
Infinity Logistics,Malaysia,Transportation,Radiator,Train,Amtrak Acela Express,Warehouses,2.41,10.94,3858.38,746.12,8.1,Medium,2020
Titan Resource Partners,Kenya,Industrial,Industrial Fan,Train,Port of Busan,Wholesalers,11.01,36.99,1856.93,979.62,6.3,Medium,2023
Eclipse Enterprises,Australia,Industrial,Welding Machine,Ship,Interstate 95 (I-95),Suppliers,5.71,8.29,4820.02,226.9,9.3,Medium,2021
Quantum Distributors,Colombia,Residential,Television,Air,Interstate 85 (I-85),Wholesalers,18.11,25.3,9971.94,635.97,10,Low,2022
Spectrum Enterprises,France,Transportation,Alternator,Ship,Tokyo Narita Airport,Retailers,16.32,30.99,2712.69,982.09,3.9,High,2021
Zenith Logistics,Brazil,Industrial,Hydraulic Pump,Truck,Eurostar Brussels-London,Manufacturers,14.61,6.39,2362.97,220.4,8.9,High,2019
Infinity Logistics,Malaysia,Industrial,Industrial Robot,Train,Route 66 (Chicago to Los Angeles),Wholesalers,19.71,9.9,974.1,563.1,5.3,Low,2023
Titan Resource Partners,Kenya,Industrial,Industrial Robot,Ship,Port of Rotterdam,Logistics,5.39,31.08,5388.23,510.37,4.1,High,2022
Zenith Logistics,Brazil,Commercial,Projector,Ship,Interstate 80 (I-80),Warehouses,15.73,23.94,7361.65,555.03,6.4,High,2019
Pinnacle Resources,Peru,Industrial,Conveyor Belt,Truck,TGV Paris-Marseille,Warehouses,10.98,37.2,1435.56,405.29,5.6,Low,2022
Apex Supply Co.,Canada,Transportation,Radiator,Truck,LAX Airport,Wholesalers,16.13,26.57,7394.53,113.53,8.3,High,2022
Terra Resources,Uruguay,Industrial,CNC Machine,Air,Frankfurt-Munich,Wholesalers,17.27,25.96,8315.63,169.15,7.1,Low,2021
Titan Resource Partners,Kenya,Transportation,Air Filter,Air,LAX Airport,Suppliers,5.15,22.57,2957.69,938.8,7.6,Medium,2021
Proxima Trading Co.,Russia,Transportation,GPS System,Truck,Interstate 25 (I-25),Manufacturers,6.29,36.68,269.88,145.99,5.8,Low,2018
Apex Supply Co.,Canada,Industrial,Forklift,Air,LAX Airport,Logistics,3.54,18.01,7681.12,56.54,7.2,High,2022
Infinity Logistics,Malaysia,Electric,Extension Cord,Train,Schiphol Airport,Suppliers,8.94,8.4,8336.5,856.12,6.9,Low,2022
Pinnacle Trading Co.,Singapore,Transportation,Radiator,Train,Interstate 80 (I-80),Retailers,7.95,43.94,4279.62,542.05,5,Low,2021
Celestial Resources,Ireland,Electric,Surge Protector,Air,Port of Valencia,Wholesalers,6.11,44.91,796.13,697.42,7.6,High,2018
Frontier Supply Co.,New Zealand,Electric,Extension Cord,Ship,Port of Rotterdam,Retailers,12.84,48.46,4454.74,751.85,8,Medium,2021
Elevation Supply Chain,Portugal,Electric,Battery Charger,Truck,Paris Orly Airport,Warehouses,17.07,20.98,8819.77,271.08,5.4,Low,2021
Celestial Resources,Ireland,Electric,Battery Charger,Ship,Interstate 95 (I-95),Wholesalers,3.21,41.65,2175.58,56.91,6.3,Low,2019
Aurora Logistics,Hungary,Industrial,CNC Machine,Truck,Interstate 65 (I-65),Wholesalers,16.89,47.03,4141.08,907.88,3.9,Low,2018
Pinnacle Resources,Peru,Electric,Battery Charger,Ship,Eurostar London-Brussels,Suppliers,4.74,36.2,1514.2,582.78,4.5,Low,2020
Infinity Traders,Norway,Electric,Power Strip,Air,LAX Airport,Logistics,7.14,7.71,566.83,689.69,8.3,Low,2020
Horizon Supplies,Netherlands,Commercial,Office Desk,Air,Port of Felixstowe,Retailers,13.54,47.22,7811.71,252.81,4.6,Medium,2021
Spectrum Trading Solutions,Mexico,Industrial,Air Compressor,Ship,Interstate 25 (I-25),Logistics,12.36,7.39,9589.08,170.81,8.5,Low,2020
Proxima Trading Co.,Russia,Industrial,Forklift,Ship,Interstate 40 (I-40),Warehouses,10.69,7.07,5185.72,567.92,5.7,High,2018
Eclipse Distributors,Denmark,Commercial,File Cabinet,Truck,Dubai Port,Manufacturers,10.53,45.26,8577.34,228.93,7.9,Medium,2021
Eclipse Enterprises,Australia,Transportation,Air Filter,Ship,Interstate 25 (I-25),Wholesalers,8.46,49.83,336.37,655.82,6.9,High,2023
Titan Resource Partners,Kenya,Commercial,Conference Table,Truck,Dubai Port,Suppliers,14.52,13.35,9849.73,947.14,7.1,Low,2020
Quantum Logistics,Indonesia,Transportation,Brake Pad,Truck,Interstate 10 (I-10),Logistics,7.33,1.93,4433.66,442.31,7.4,Low,2023
Vertex Supply Partners,Saudi Arabia,Industrial,Welding Machine,Truck,Port of Hong Kong,Retailers,19.89,30.31,5087,689.52,8,Medium,2023
Stellar Supply Co.,Malaysia,Residential,Lamp,Air,Interstate 75 (I-75),Logistics,13.16,4.01,8764.64,460.73,7.4,Low,2018
Horizon Distribution,Chile,Electric,Smart Plug,Ship,Interstate 5 (I-5),Retailers,7.92,36.73,3632.14,854.09,6.4,Low,2023
Eclipse Enterprises,Australia,Industrial,Hydraulic Pump,Train,Port of Hamburg,Warehouses,13.77,31.21,6214.82,123.51,7,Low,2022
Titan Resource Partners,Kenya,Transportation,Air Filter,Train,Shinkansen Tokyo-Osaka,Logistics,1.62,27.67,5639.16,436.14,7.4,High,2021
Proxima Trading Co.,Russia,Electric,Surge Protector,Ship,Interstate 90 (I-90),Wholesalers,3.48,6.67,684.37,761.7,5.1,Medium,2023
Aurora Logistics,Hungary,Commercial,Desk Chair,Train,Eurostar London-Brussels,Retailers,14.73,19.12,9282.23,23.27,6.6,High,2019
Ascend Distribution,Sweden,Residential,Heater,Ship,Interstate 70 (I-70),Suppliers,5.74,39.82,7077.29,18.95,5.9,Low,2022
Nova Trade Solutions,Italy,Electric,Surge Protector,Air,TGV Paris-Marseille,Suppliers,19.83,1.48,9920.92,592.28,7.7,High,2018
Eclipse Distributors,Denmark,Electric,Power Strip,Ship,Thalys Paris-Brussels,Logistics,15.78,7.29,3802.49,750.68,3.7,Low,2023
Terra Resources,Uruguay,Industrial,Conveyor Belt,Air,Hong Kong International Airport,Manufacturers,14.17,33.31,5862.95,51.39,9.1,Low,2022
Proxima Trading Co.,Russia,Commercial,Desk Chair,Train,Interstate 40 (I-40),Warehouses,16.96,3.06,4022.77,647.49,6.5,Medium,2018
Frontier Resources,United States,Electric,Battery Charger,Train,Interstate 5 (I-5),Manufacturers,7.11,14.67,7532.74,701.47,6.5,High,2020
Titan Supply Chain,Egypt,Industrial,Lathe,Train,Thalys Amsterdam-Cologne,Manufacturers,2.68,1.52,2781.98,113.46,8.5,Medium,2023
Frontier Resources,United States,Electric,Battery Charger,Air,Interstate 40 (I-40),Manufacturers,12.03,24.51,2474.7,871.18,7.6,Low,2023
Stellar Solutions,South Korea,Commercial,Shredder,Air,Port of Long Beach,Manufacturers,16.33,10.89,3982.04,625.33,8,High,2018
Infinity Logistics,Malaysia,Transportation,Radiator,Air,Amsterdam Airport Schiphol,Wholesalers,9.02,36.38,4801.63,364.68,3.7,Low,2021
Celestial Resources,Ireland,Transportation,GPS System,Air,Eurostar London-Paris,Retailers,7.71,34.39,4454.23,315.39,4.8,Low,2023
Terra Logistics,India,Industrial,Air Compressor,Truck,Amsterdam Airport Schiphol,Warehouses,9.97,27.47,3269.6,303.66,5.1,High,2023
Vanguard Resources,Taiwan,Transportation,Shock Absorber,Truck,Eurostar Brussels-London,Manufacturers,4.95,25.75,6848.07,366.36,6.9,Medium,2019
Proxima Trading Co.,Russia,Residential,Sofa,Truck,Frankfurt Airport,Warehouses,7.29,40.67,3157.07,976.85,7.1,Medium,2020
Vertex Supply Partners,Saudi Arabia,Transportation,Shock Absorber,Truck,London Heathrow Airport,Wholesalers,14.31,21.6,7628.02,929.79,3.7,Low,2021
Elevate Enterprises,Greece,Commercial,Conference Table,Ship,Port of New York and New Jersey,Retailers,2.95,28.28,1669.73,673.16,5.9,Medium,2019
Frontier Supply Co.,New Zealand,Industrial,Welding Machine,Truck,London Heathrow Airport,Warehouses,19.98,42.89,3636.28,47.23,8.9,Medium,2023
Radiant Logistics,South Africa,Industrial,Forklift,Air,Paris Orly Airport,Suppliers,3.77,33.93,8090.4,255.31,8.5,Low,2023
Infinity Logistics,Malaysia,Electric,Surge Protector,Air,Gatwick Airport,Retailers,4.02,11.81,4583,284.26,4.4,High,2019
Elevate Enterprises,Greece,Commercial,Whiteboard,Train,Interstate 70 (I-70),Suppliers,5.67,10.29,8240.22,334.17,7.3,Medium,2022
Radiant Traders,Venezuela,Commercial,Desk Chair,Truck,Thalys Paris-Brussels,Manufacturers,5.6,3.17,7729.31,44.49,6.9,Medium,2019
Frontier Resources,United States,Industrial,CNC Machine,Truck,Amtrak Acela Express,Manufacturers,16.81,45.12,2984.93,981.16,5.2,Medium,2022
Atlas Trading Co.,Singapore,Commercial,Desk Chair,Truck,Port of Felixstowe,Manufacturers,8.46,35.9,9174.11,384.23,5.7,Medium,2019
Zenith Supply Co.,Switzerland,Commercial,Whiteboard,Air,Interstate 5 (I-5),Logistics,5.12,44.32,7994.45,521.7,6.2,High,2021
Vertex Industries,Turkey,Residential,Refrigerator,Air,Interstate 85 (I-85),Manufacturers,19.06,12.9,8796.19,807.14,5.1,Low,2022
Zenith Supply Co.,Switzerland,Electric,Electric Fan,Ship,Interstate 80 (I-80),Warehouses,6.77,44.04,7903.29,198.49,8.6,High,2022
Aurora Trade Partners,United Kingdom,Commercial,Whiteboard,Truck,Haneda Airport,Wholesalers,19.01,33.38,5653.29,72.65,6.4,Low,2023
Aurora Trade Partners,United Kingdom,Transportation,Oil Filter,Train,LAX Airport,Manufacturers,12.6,16.98,1873.45,429.99,6.4,High,2022
Pinnacle Resources,Peru,Residential,Sofa,Train,Eurostar London-Brussels,Suppliers,16.85,8.14,7928.58,884.73,5,Low,2023
Radiant Logistics,South Africa,Industrial,Pneumatic Tool,Ship,Port of Jebel Ali,Warehouses,6.47,6.01,3667.45,527.25,7.2,Low,2022
Quantum Logistics,Indonesia,Transportation,Radiator,Air,Interstate 10 (I-10),Logistics,5.35,8.17,3108.01,989.59,7.9,Medium,2023
Proxima Supply Co.,United Arab Emirates,Transportation,GPS System,Air,Port of Jebel Ali,Suppliers,2.83,32.02,8459.15,53.89,8.9,High,2023
Pinnacle Trading Co.,Singapore,Transportation,Air Filter,Truck,Schiphol Airport,Wholesalers,19.47,6.37,4893.76,169.3,5.1,Low,2022
Ascend Supply Chain,Bangladesh,Commercial,Office Desk,Air,Frankfurt Airport,Manufacturers,9.12,49.89,2596.08,116.63,5.6,High,2020
Summit Distribution,Poland,Commercial,Coffee Maker,Train,Hamburg Port,Logistics,15.36,8.62,6730.4,251.25,8.5,Medium,2022
Spectrum Enterprises,France,Commercial,Projector,Train,Hamburg Port,Logistics,9.77,5.13,2566.38,589.86,6.1,Low,2020
Apex Supply Co.,Canada,Industrial,Hydraulic Pump,Air,Route 66 (Chicago to Los Angeles),Warehouses,10.41,0.84,808.27,581.65,5.4,High,2019
Frontier Supply Co.,New Zealand,Industrial,CNC Machine,Truck,Interstate 65 (I-65),Warehouses,19.35,36.64,4798.36,671.1,5.1,High,2022
Horizon Supplies,Netherlands,Residential,Vacuum Cleaner,Truck,Interstate 5 (I-5),Retailers,19.36,44.43,6631.2,357.64,8.2,Low,2019
Nova Enterprises,Philippines,Electric,Electric Heater,Train,Interstate 10 (I-10),Manufacturers,12.91,42.48,3346.39,271.93,4.8,High,2020
Pinnacle Resources,Peru,Commercial,Whiteboard,Ship,Port of Felixstowe,Manufacturers,8.68,20.11,3710.05,706.36,6.9,High,2021
Celestial Supply Chain,Chile,Commercial,Shredder,Train,Thalys Paris-Brussels,Warehouses,9.38,5.61,3397.87,583.97,8.7,Low,2020
Omega Trading Solutions,Argentina,Residential,Microwave,Ship,Amsterdam Airport Schiphol,Retailers,15.14,36.03,4090.74,985.14,6.4,Medium,2020
Nova Resource Group,Ukraine,Commercial,Coffee Maker,Train,Port of Tanjung Priok,Logistics,18.55,7.15,9511.19,357.26,7.6,High,2018
Apex Logistics,Vietnam,Residential,Television,Air,Interstate 90 (I-90),Logistics,16.91,32.77,7835.88,311.42,4.8,High,2022
Nexus Procurement,Germany,Residential,Air Conditioner,Ship,Hamburg Port,Suppliers,18.96,23.38,9633.97,157.12,5.6,Medium,2020
Horizon Distribution,Chile,Transportation,GPS System,Truck,Port of Felixstowe,Wholesalers,11.74,26.79,3097.07,447.71,8.5,High,2019
Aurora Trade Partners,United Kingdom,Commercial,Printer,Ship,Port of Santos,Retailers,5.8,11.96,3291.51,299.39,6.9,Low,2019
Frontier Supply Co.,New Zealand,Electric,Solar Panel,Air,Port of Felixstowe,Manufacturers,4.72,18.33,8129.9,701.92,6.5,Medium,2023
Frontier Supply Co.,New Zealand,Transportation,Oil Filter,Truck,Port of Rotterdam,Manufacturers,1.02,32.82,5688.52,911.35,6.7,Medium,2021
Zenith Logistics,Brazil,Industrial,Industrial Fan,Truck,Port of Zeebrugge,Logistics,15.21,44.41,5137.06,945.56,7.5,Medium,2023
Quantum Logistics,Indonesia,Commercial,Shredder,Ship,Frankfurt Airport,Retailers,18.3,25.66,6376.98,229.12,5.7,Low,2020
Zenith Supply Co.,Switzerland,Commercial,Coffee Maker,Air,Haneda Airport,Logistics,1.08,39.28,4881.5,121.31,9.8,Low,2023
Nova Enterprises,Philippines,Transportation,Tire,Truck,Dubai Port,Retailers,11.76,12.81,766.25,959.61,7.6,High,2023
Ascend Distribution,Sweden,Electric,Smart Plug,Air,Interstate 25 (I-25),Retailers,17.95,14.79,2941.74,436.25,4.3,Low,2019
Quantum Logistics,Indonesia,Electric,Smart Plug,Train,London Heathrow Airport,Wholesalers,13.6,16.56,2541.52,881.36,8.9,Low,2019
Quantum Logistics,Indonesia,Electric,LED Bulb,Truck,Tokyo Narita Airport,Retailers,13.62,32.51,6567.1,800.96,8,Medium,2020
Stellar Supply Co.,Malaysia,Industrial,Forklift,Air,Port of Antwerp,Retailers,19.99,33.06,5625.67,891.62,4.8,High,2019
Zenith Supply Co.,Switzerland,Commercial,Coffee Maker,Train,Port of Santos,Manufacturers,12.2,5.41,8254.39,330.53,5.2,Low,2021
Nova Trade Solutions,Italy,Industrial,Welding Machine,Air,Thalys Cologne-Paris,Wholesalers,11.52,19.17,6698.68,664.23,4.5,High,2023
Stellar Supply Co.,Malaysia,Residential,Lamp,Air,Port of New York and New Jersey,Wholesalers,18.35,36.41,7864.04,732.89,7.8,High,2018
Aurora Trade Partners,United Kingdom,Industrial,Lathe,Air,Port of Long Beach,Wholesalers,19.64,43.15,1790.86,871.26,5.5,Medium,2022
Terra Resources,Uruguay,Transportation,Brake Pad,Air,Frankfurt Airport,Warehouses,12.2,14.61,7103.61,241.45,7.3,Low,2019
Spectrum Enterprises,France,Residential,Vacuum Cleaner,Ship,Interstate 80 (I-80),Logistics,16.88,19.01,8715.38,296.37,4.2,Medium,2020
Ascend Distribution,Sweden,Residential,Television,Ship,Eurostar London-Brussels,Retailers,10.47,7.92,939.07,238.07,6,Low,2020
Zenith Logistics,Brazil,Commercial,File Cabinet,Air,Shinkansen Osaka-Kyoto,Retailers,3.37,15.54,7063.06,846.31,8.1,Medium,2019
Aurora Trade Partners,United Kingdom,Commercial,Conference Table,Truck,Eurostar London-Brussels,Wholesalers,13.46,35.98,6446.21,878.18,5.8,Medium,2018
Radiant Traders,Venezuela,Commercial,File Cabinet,Ship,Amsterdam Airport Schiphol,Manufacturers,19.19,13.82,8290.47,634.15,5.8,High,2019
Horizon Supplies,Netherlands,Industrial,Welding Machine,Air,Port of Valencia,Logistics,9.45,41.47,6492.6,644.7,5.6,Low,2020
Summit Procurement,Thailand,Transportation,Oil Filter,Truck,Interstate 75 (I-75),Warehouses,14.48,13.82,6994.69,280.27,6.3,High,2019
Horizon Supplies,Netherlands,Transportation,Oil Filter,Train,Frankfurt Airport,Wholesalers,19.38,42.63,1363.3,463.36,8.1,High,2019
Pinnacle Trading Co.,Singapore,Commercial,Whiteboard,Train,Interstate 55 (I-55),Suppliers,11.61,34.58,4248.26,728.3,7.7,Low,2019
Proxima Trading Co.,Russia,Commercial,File Cabinet,Air,Thalys Paris-Brussels,Manufacturers,16.07,5.76,2211.39,960.76,4.2,Medium,2018
Terra Resources,Uruguay,Industrial,Welding Machine,Air,Port of Zeebrugge,Manufacturers,1.43,4.56,2091.79,108.67,8.2,High,2022
Spectrum Supplies,Japan,Residential,Refrigerator,Air,Frankfurt Airport,Suppliers,16.83,46.62,4470.51,583.79,5.4,Low,2022
Horizon Supplies,Netherlands,Residential,Television,Train,Eurostar London-Paris,Retailers,15.92,29.21,3465.99,538.12,4.5,Medium,2018
Infinity Logistics,Malaysia,Commercial,File Cabinet,Air,Thalys Paris-Brussels,Warehouses,14.04,33.09,9559.49,622.12,10.8,Medium,2020
Elevation Supply Chain,Portugal,Commercial,File Cabinet,Train,Eurostar London-Brussels,Suppliers,17.75,7.71,7030.69,561.31,5.9,High,2019
Spectrum Supplies,Japan,Electric,Solar Panel,Ship,Interstate 80 (I-80),Logistics,19.61,17.81,6524.57,349.73,8.7,Low,2019
Ascend Distribution,Sweden,Transportation,Alternator,Air,Port of Zeebrugge,Suppliers,4.87,27.56,5147.44,392.97,2.3,Medium,2019
Pinnacle Resources,Peru,Residential,Heater,Train,Thalys Paris-Brussels,Retailers,11.31,17.67,2660.57,30.71,5.2,High,2018
Spectrum Supplies,Japan,Residential,Microwave,Air,Port of Rotterdam,Manufacturers,18.19,28.91,8916.83,121.6,8.5,High,2019
Summit Distribution,Poland,Commercial,Cubicle Partition,Ship,Hamburg Port,Warehouses,13.23,9.93,3233.55,709.6,5.7,High,2022
Quantum Distributors,Colombia,Commercial,Shredder,Truck,TGV Paris-Marseille,Warehouses,13.25,41.4,9026.68,483.52,7.1,High,2018
Zenith Logistics,Brazil,Industrial,Industrial Robot,Air,Interstate 40 (I-40),Warehouses,6.64,14.3,7920.36,495.63,5.8,Low,2021
Titan Resource Partners,Kenya,Residential,Heater,Ship,Port of Zeebrugge,Manufacturers,6.72,47.13,9430.61,300.54,7.6,High,2019
Atlas Trading Co.,Singapore,Electric,Power Strip,Air,Dubai Port,Logistics,16.47,6.55,307.33,645.89,5.5,Low,2023
Frontier Resources,United States,Electric,Solar Panel,Truck,Route 66 (Chicago to Los Angeles),Suppliers,10.59,47.14,1573.07,548.62,5.7,High,2019
Ascend Supply Chain,Bangladesh,Transportation,Radiator,Train,Port of Long Beach,Suppliers,7.08,32.04,6402.54,644.7,8.1,High,2023
Horizon Distribution,Chile,Residential,Washing Machine,Truck,Interstate 25 (I-25),Warehouses,8.12,44.32,8270.86,136.6,5.5,High,2022
Pinnacle Trading Co.,Singapore,Transportation,Air Filter,Ship,Interstate 5 (I-5),Warehouses,8.22,43.63,7655.12,643.44,5.2,High,2019
Eclipse Distributors,Denmark,Transportation,Air Filter,Train,Amsterdam Airport Schiphol,Wholesalers,10.69,33.89,7376.58,828.67,5.3,High,2019
Spectrum Trading Solutions,Mexico,Industrial,Pneumatic Tool,Truck,Thalys Cologne-Paris,Wholesalers,19.48,17.5,8791.32,700.52,6.6,Medium,2018
Spectrum Supplies,Japan,Residential,Lamp,Air,Frankfurt-Munich,Warehouses,7.67,8.07,2640.02,20.4,6.8,Low,2022
Eclipse Distributors,Denmark,Industrial,Lathe,Ship,Paris Charles de Gaulle Airport,Retailers,4.18,24.54,5231.99,374.89,6.7,High,2021
Spectrum Enterprises,France,Electric,Wall Socket,Truck,Shinkansen Tokyo-Osaka,Manufacturers,7.73,46.62,3948.91,438.38,6.8,High,2021
Nova Resource Group,Ukraine,Electric,Extension Cord,Ship,Paris Orly Airport,Logistics,4.94,24.72,5023.06,763.04,6,Medium,2019
Celestial Supply Chain,Chile,Residential,Microwave,Truck,Eurostar London-Paris,Suppliers,6.59,40.64,4956.92,495.09,6.2,Low,2018
Proxima Supply Co.,United Arab Emirates,Residential,Lamp,Truck,Interstate 40 (I-40),Wholesalers,12.04,21.21,1989.23,504.15,7.9,Low,2023
Vanguard Resources,Taiwan,Electric,Battery Charger,Train,Port of Rotterdam,Wholesalers,19.92,1.65,4368.86,203.64,7.7,Low,2021
Nova Enterprises,Philippines,Electric,Smart Plug,Truck,Interstate 25 (I-25),Manufacturers,9.31,33.98,8090.33,440.83,6.1,Medium,2023
Eclipse Enterprises,Australia,Commercial,Cubicle Partition,Ship,Interstate 25 (I-25),Warehouses,7.96,36.59,4909.29,804.17,9.8,Medium,2019
Celestial Resources,Ireland,Electric,Solar Panel,Air,Shinkansen Tokyo-Osaka,Suppliers,6.84,34.25,4607.96,128.41,7.2,Medium,2019
Aurora Trade Partners,United Kingdom,Industrial,Pneumatic Tool,Ship,Interstate 35 (I-35),Warehouses,17.48,23.4,6076.81,716.46,6.9,High,2018
Infinity Logistics,Malaysia,Transportation,Alternator,Ship,Port of Zeebrugge,Manufacturers,18.66,14.99,7173,356.93,5.5,Low,2022
Stellar Supply Co.,Malaysia,Industrial,Industrial Robot,Ship,Port of Tanjung Priok,Logistics,8.69,7.17,3288.84,870.19,7.9,High,2020
Aurora Logistics,Hungary,Residential,Sofa,Train,Port of Tanjung Priok,Manufacturers,18.08,49.62,2962.14,731.45,3.7,Medium,2022
Spectrum Enterprises,France,Commercial,Desk Chair,Air,Paris Charles de Gaulle Airport,Wholesalers,1.71,20.45,9189.75,68.21,9.7,Low,2019
Vertex Supply Partners,Saudi Arabia,Industrial,Hydraulic Pump,Truck,Schiphol Airport,Manufacturers,19.14,36.89,7216.6,318.67,3.8,Low,2023
Zenith Supply Co.,Switzerland,Commercial,File Cabinet,Truck,Interstate 80 (I-80),Suppliers,13.84,17.85,4725.35,836.79,5.9,Medium,2018
Atlas Trading Co.,Singapore,Transportation,Brake Pad,Ship,Port of New York and New Jersey,Manufacturers,18.42,28.65,7290.47,159.69,4.2,High,2023
Terra Logistics,India,Transportation,Car Battery,Ship,Amsterdam Airport Schiphol,Retailers,14.62,24.02,3385.91,322.75,5.3,High,2018
Celestial Resources,Ireland,Transportation,Brake Pad,Truck,Port of Hamburg,Wholesalers,17.95,7.63,8536.32,978.41,6.4,High,2018
